signal_id,Signal,Theme,Theme_Description,Type,Primary_Data_Source,Calculation_Logic,Risk_Threshold,NBA_on_Trigger,Rationale,Metric_Field,Direction,P10,P25,P50,P75,P90,Alert_Threshold_Expr,Critical_Threshold_Expr
S001,Cloud Spend Variance,Cost,"Economic Efficiency, Scalability & Performance",Leading,Product Telemetry,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S002,Idle Resource Ratio,Cost,"Economic Efficiency, Scalability & Performance",Lagging,CRM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S003,Reserved Coverage,Cost,"Economic Efficiency, Scalability & Performance",Leading,Support System,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S004,Rightsizing Opportunity,Cost,"Economic Efficiency, Scalability & Performance",Leading,Marketing Automation,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S005,License Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Compliance Tool,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S006,Data Egress Cost Spike,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Product Telemetry,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S007,Savings Plan Coverage,Cost,"Economic Efficiency, Scalability & Performance",Leading,Billing,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S008,Storage Tier Mix,Cost,"Economic Efficiency, Scalability & Performance",Leading,CRM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S009,CPU Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Identity/SSO,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S010,GPU Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Usage Analytics,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S011,Commitment Burn Rate,Cost,"Economic Efficiency, Scalability & Performance",Lagging,CRM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S012,Unit Cost per Active User,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Compliance Tool,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S013,FinOps Score,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Finance ERP,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S014,Tagging Compliance,Cost,"Economic Efficiency, Scalability & Performance",Leading,Finance ERP,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,compliance_status == 'AtRisk',Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,compliance_status,CATEGORICAL,,,,,,compliance_status == 'AtRisk',compliance_status == 'AtRisk'
S015,SaaS Seats Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Usage Analytics,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S016,Invoice Dispute Rate,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Security SIEM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S017,Forecast Accuracy,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Support System,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S018,Host Density,Cost,"Economic Efficiency, Scalability & Performance",Leading,Finance ERP,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S019,Spot/Preemptible Usage,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Billing,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,adoption_rate_pct <= 17.388,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,adoption_rate_pct,LOWER_IS_RISK,17.388,29.37,48.79,70.645,83.317,adoption_rate_pct <= 29.370,adoption_rate_pct <= 17.388
S020,Environment Duplication,Cost,"Economic Efficiency, Scalability & Performance",Leading,DevOps Tooling,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S021,Cost Signal 21,Cost,"Economic Efficiency, Scalability & Performance",Leading,Security SIEM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S022,Cost Signal 22,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Compliance Tool,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S023,Cost Signal 23,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Finance ERP,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S024,Cost Signal 24,Cost,"Economic Efficiency, Scalability & Performance",Leading,Usage Analytics,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S025,Cost Signal 25,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Identity/SSO,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S026,Cost Signal 26,Cost,"Economic Efficiency, Scalability & Performance",Leading,CDP,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S027,Cost Signal 27,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Billing,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S028,Cost Signal 28,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Learning LMS,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S029,Cost Signal 29,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Compliance Tool,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S030,Cost Signal 30,Cost,"Economic Efficiency, Scalability & Performance",Leading,Usage Analytics,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S031,Cost Signal 31,Cost,"Economic Efficiency, Scalability & Performance",Leading,Product Telemetry,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S032,Cost Signal 32,Cost,"Economic Efficiency, Scalability & Performance",Leading,Finance ERP,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S033,Cost Signal 33,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Billing,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S034,Cost Signal 34,Cost,"Economic Efficiency, Scalability & Performance",Leading,Learning LMS,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S035,Cost Signal 35,Cost,"Economic Efficiency, Scalability & Performance",Leading,DevOps Tooling,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S036,Cost Signal 36,Cost,"Economic Efficiency, Scalability & Performance",Lagging,AIOps,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S037,Cost Signal 37,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Support System,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S038,Cost Signal 38,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Security SIEM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S039,Cost Signal 39,Cost,"Economic Efficiency, Scalability & Performance",Leading,Marketing Automation,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S040,Cost Signal 40,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Usage Analytics,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S041,Release Frequency,Agility,Agility & Speed to Market / Modern App,Leading,Compliance Tool,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S042,Lead Time for Changes,Agility,Agility & Speed to Market / Modern App,Leading,Identity/SSO,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S043,Change Failure Rate,Agility,Agility & Speed to Market / Modern App,Leading,Support System,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S044,MTTR Application,Agility,Agility & Speed to Market / Modern App,Lagging,DevOps Tooling,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,mean_resolution_time_hours >= 29.100,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,mean_resolution_time_hours,HIGHER_IS_RISK,7.49,12.674999999999999,17.8,23.55,29.1,mean_resolution_time_hours >= 23.550,mean_resolution_time_hours >= 29.100
S045,Deployment Automation Coverage,Agility,Agility & Speed to Market / Modern App,Lagging,CDP,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,finops_score <= 47.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S046,API Time-to-First-Call,Agility,Agility & Speed to Market / Modern App,Leading,Marketing Automation,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S047,Onboarding TTV,Agility,Agility & Speed to Market / Modern App,Lagging,Learning LMS,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S048,Feature Cycle Time,Agility,Agility & Speed to Market / Modern App,Leading,CRM,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S049,Backlog Age > 90d,Agility,Agility & Speed to Market / Modern App,Leading,Finance ERP,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S050,Experiment Velocity,Agility,Agility & Speed to Market / Modern App,Lagging,DevOps Tooling,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,time_to_value_days >= 33.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,time_to_value_days,HIGHER_IS_RISK,6.900000000000002,13.75,21.0,28.0,33.0,time_to_value_days >= 28.000,time_to_value_days >= 33.000
S051,Blue/Green Coverage,Agility,Agility & Speed to Market / Modern App,Lagging,Billing,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,finops_score <= 47.000,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S052,Canary Adoption,Agility,Agility & Speed to Market / Modern App,Leading,CDP,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,adoption_rate_pct <= 17.388,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,adoption_rate_pct,LOWER_IS_RISK,17.388,29.37,48.79,70.645,83.317,adoption_rate_pct <= 29.370,adoption_rate_pct <= 17.388
S053,Trunk-Based Adoption,Agility,Agility & Speed to Market / Modern App,Lagging,CRM,Release_Cycle_Time > 14 days or Lead_Time_Change > 10 days,adoption_rate_pct <= 17.388,Run value-stream mapping; enable CI/CD coaching; reduce WIP; deploy feature toggle for faster iteration.,Correlates with agility impact and time-to-value acceleration.,adoption_rate_pct,LOWER_IS_RISK,17.388,29.37,48.79,70.645,83.317,adoption_rate_pct <= 29.370,adoption_rate_pct <= 17.388
